DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
13-Mar-2026,EQ,"865.25","878.75","844.00","866.55","863.00","861.35","855.80","1,177.55","765.00",6756426,"5,78,21,59,954.35",61609
12-Mar-2026,EQ,"849.60","881.95","837.40","849.65","866.65","866.55","862.94","1,177.55","765.00",6591414,"5,68,79,96,086.60",90427
11-Mar-2026,EQ,"866.60","877.90","846.90","856.90","852.00","849.65","863.96","1,177.55","765.00",3005645,"2,59,67,66,220.45",51884
10-Mar-2026,EQ,"875.00","878.95","843.25","854.15","858.50","856.90","855.50","1,177.55","765.00",3240047,"2,77,18,59,499.10",48641
09-Mar-2026,EQ,"841.00","858.00","825.00","858.40","855.50","854.15","841.54","1,177.55","765.00",1922632,"1,61,79,62,409.55",37608
06-Mar-2026,EQ,"879.60","894.55","855.15","884.55","863.00","858.40","870.70","1,177.55","758.00",5784124,"5,03,62,60,958.05",87497
05-Mar-2026,EQ,"886.25","889.75","864.60","871.95","883.60","884.55","873.20","1,177.55","758.00",4655262,"4,06,49,91,612.20",79707
04-Mar-2026,EQ,"880.00","882.80","867.00","903.55","870.00","871.95","873.87","1,177.55","758.00",1976974,"1,72,76,21,436.85",47372
02-Mar-2026,EQ,"915.00","926.95","880.25","947.35","906.85","903.55","902.11","1,177.55","758.00",3482707,"3,14,17,95,675.00",70675
27-Feb-2026,EQ,"960.35","969.50","942.00","965.95","944.00","947.35","956.35","1,177.55","758.00",1156653,"1,10,61,66,087.30",23727
26-Feb-2026,EQ,"964.15","973.50","956.55","964.15","962.60","965.95","965.57","1,177.55","758.00",911136,"87,97,65,827.10",19190
25-Feb-2026,EQ,"984.95","988.60","960.00","981.35","963.00","964.15","970.04","1,177.55","758.00",1345367,"1,30,50,65,084.05",26908
24-Feb-2026,EQ,"970.15","988.00","956.45","970.35","984.00","981.35","969.81","1,177.55","758.00",1290484,"1,25,15,23,006.15",25195
23-Feb-2026,EQ,"978.25","987.55","962.00","968.25","970.30","970.35","974.25","1,177.55","758.00",1188654,"1,15,80,41,972.55",26487
20-Feb-2026,EQ,"976.40","980.75","965.00","976.50","967.20","968.25","972.97","1,177.55","758.00",1221495,"1,18,84,82,488.40",25844
19-Feb-2026,EQ,"1,000.10","1,005.00","970.00","1,000.10","971.05","976.50","987.82","1,177.55","758.00",1500530,"1,48,22,48,989.70",31644
18-Feb-2026,EQ,"1,019.00","1,019.95","987.40","1,016.80","998.55","1,000.10","999.73","1,177.55","758.00",1964869,"1,96,43,38,719.25",40944
17-Feb-2026,EQ,"982.65","1,018.95","979.25","991.25","1,014.25","1,016.80","1,001.51","1,177.55","758.00",3770349,"3,77,60,47,280.50",67504
16-Feb-2026,EQ,"949.50","999.00","936.45","950.50","991.80","991.25","982.06","1,177.55","758.00",4171950,"4,09,71,20,994.70",84832
